ward_id,text,language,category,sentiment_score,priority_weight
62,Need urgent drain cleaning in block 19,english,blocked_drain,-0.45907707127302866,0.7394203156985919
16,ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.31278086325060184,0.39322768199060454
41,"পাকা রাস্তা উঠে গেছে, দ্রুত মেরামত দরকার",bangla,road_damage,-0.3863389997022266,1.0
67,Garbage pile has not been removed for three days,english,waste,-0.31089356176925836,0.5756511967510699
73,"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.5564934894741129,0.8002546544499106
63,আমাদের এলাকায় বৃষ্টির পরে হাঁটু পানি থাকে,bangla,flooding,-0.9929257401678389,0.223740782417594
77,স্কুলের সামনে জলাবদ্ধতা খুব বেশি,bangla,flooding,-0.2689267003162724,0.6747718590848398
57,রাস্তার গর্তে যানজট ও দুর্ঘটনা হচ্ছে,bangla,road_damage,-0.4838746639902497,0.5775926005227192
23,ডাস্টবিন না থাকায় রাস্তায় ময়লা জমছে,bangla,waste,-0.2721541055455816,0.3992556184356454
39,"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.47065802359358555,0.7904653818835504
15,Road remains flooded for hours after rainfall,english,flooding,-0.8253193089814594,0.47653349767535974
4,Road remains flooded for hours after rainfall,english,flooding,-0.5359583953468166,0.6237557982110881
31,বর্ষায় রাস্তার পাশের নালা উপচে পড়ে,bangla,blocked_drain,-0.8822121827364486,0.5809933451000237
85,Ambulance cannot pass because road is broken,english,road_damage,-0.645293883905725,0.41626289527837457
28,Road remains flooded for hours after rainfall,english,flooding,-0.5066316717514251,0.21118454419029142
90,পচা আবর্জনায় ড্রেন আটকে গেছে,bangla,blocked_drain,-0.35012172055313595,0.4210017575595997
28,Water pressure is too low in the morning,english,water_supply,-0.3761352737338932,0.6834151832132009
18,Heavy rain causes waterlogging every evening,english,flooding,-0.2577290774983848,0.6778406464448583
